estimate,lowci,highci,true_onset,pass,distance,obs,sd,estimator,ci
125.1147917,115.148237,145.2919639,35.88,FALSE,89.23479165,50,40,belitz,30.14372688
113.761992,103.7219797,155.8442521,35.88,FALSE,77.88199195,50,40,belitz,52.1222724
110.7595596,106.2985143,118.8968704,35.88,FALSE,74.87955959,50,40,belitz,12.59835611
88.98034662,76.45369227,137.1058706,35.88,FALSE,53.10034662,50,40,belitz,60.65217836
218.572543,217.6144915,227.5283411,162.68,FALSE,55.89254297,10,10,pearse,9.913849661
212.2417977,211.1937426,221.030184,162.68,FALSE,49.56179769,10,10,pearse,9.836441417
222.5035465,215.7283733,250.3988733,162.68,FALSE,59.82354649,10,10,pearse,34.67050001
206.9874991,205.9309897,216.219035,162.68,FALSE,44.30749905,10,10,pearse,10.28804536
235.2122411,224.0223856,287.3860913,162.68,FALSE,72.5322411,10,10,pearse,63.3637058
241.3903171,227.0638038,311.1390285,162.68,FALSE,78.71031711,10,10,pearse,84.07522469
213.6793694,211.5518629,225.4841383,162.68,FALSE,50.99936945,10,10,pearse,13.93227541
228.2016993,220.0696896,262.6274668,162.68,FALSE,65.52169931,10,10,pearse,42.55777717
216.2489733,214.3806166,227.6278347,162.68,FALSE,53.56897334,10,10,pearse,13.24721808
222.5602672,218.9874192,241.2800408,162.68,FALSE,59.88026722,10,10,pearse,22.29262152
227.7592934,219.5014526,265.2515941,162.68,FALSE,65.0792934,10,10,pearse,45.75014159
228.4352395,220.7780356,261.4506109,162.68,FALSE,65.75523946,10,10,pearse,40.67257522
211.3494874,209.0463115,224.2306801,162.68,FALSE,48.66948742,10,10,pearse,15.1843686
214.7608915,212.4956726,226.547542,162.68,FALSE,52.08089152,10,10,pearse,14.0518694
219.9188056,212.0639441,253.5811911,162.68,FALSE,57.23880563,10,10,pearse,41.51724703
225.490479,218.8609456,271.070128,162.68,FALSE,62.81047901,10,10,pearse,52.2091824
221.7000276,215.925852,245.8415022,162.68,FALSE,59.02002762,10,10,pearse,29.91565023
217.6228498,213.5667557,234.565441,162.68,FALSE,54.9428498,10,10,pearse,20.99868529
240.6950136,227.9069201,303.026771,162.68,FALSE,78.0150136,10,10,pearse,75.11985084
205.4527648,203.4899745,215.8425535,162.68,FALSE,42.77276478,10,10,pearse,12.35257899
220.881383,213.7053926,250.7190326,162.68,FALSE,58.201383,10,10,pearse,37.01363997
222.246947,214.6230212,257.8830938,162.68,FALSE,59.56694701,10,10,pearse,43.26007267
225.1010313,218.1913745,253.6582173,162.68,FALSE,62.42103134,10,10,pearse,35.46684277
214.7803515,212.6869902,228.6573841,162.68,FALSE,52.10035152,10,10,pearse,15.97039395
227.677347,220.9567552,256.4895056,162.68,FALSE,64.99734695,10,10,pearse,35.53275047
