polyids,year,weib10,high_ci.x,low_ci.x,SciName,left,bottom,right,top,long_centroid,lat_centroid,onset,high_ci.y,low_ci.y,,,,,,
72,2012,131.4325612,160.8862979,103.0279731,Pieris rapae,-83,41,-82,42,-82.5,41.5,78.82599092,97.45981063,20.4426652,,,,,,
72,2016,131.0218474,167.2903553,97.23275781,Pieris rapae,-83,41,-82,42,-82.5,41.5,105.6633256,117.5959676,59.48778776,,,,,,
72,2017,141.8396752,176.9714942,103.1230359,Pieris rapae,-83,41,-82,42,-82.5,41.5,99.25194614,118.7797872,22.88288081,,,,,,
72,2018,141.0569977,172.8977842,106.3321267,Pieris rapae,-83,41,-82,42,-82.5,41.5,108.4236128,121.4496966,61.1605806,,,,,,
6,2014,191.4772705,204.2606146,178.1374144,Colias eurytheme,-94,41,-93,42,-93.5,41.5,187.6912787,190.9319216,176.5334734,,,,,,
6,2015,163.9467411,183.5937504,144.6679173,Colias eurytheme,-94,41,-93,42,-93.5,41.5,125.2374954,132.5370482,105.970134,,,,,,
6,2016,147.7199199,164.0888666,130.670071,Colias eurytheme,-94,41,-93,42,-93.5,41.5,118.4666301,122.8103132,107.2506952,,,,,,
6,2017,202.1072996,220.3834526,176.047836,Colias eurytheme,-94,41,-93,42,-93.5,41.5,149.3654331,166.8763023,94.05250869,,,,,,
6,2018,166.1863166,180.9598076,148.5249459,Colias eurytheme,-94,41,-93,42,-93.5,41.5,138.7556529,147.2189464,114.4593626,,,,,,
40,2018,237.5358744,248.1872275,208.9664166,Colias eurytheme,-88,39,-87,40,-87.5,39.5,178.6677525,196.4436138,61.62122592,,,,,,
42,2016,201.0794782,226.9647654,161.1359735,Colias eurytheme,-88,41,-87,42,-87.5,41.5,123.0899475,148.1416364,42.95246351,,,,,,
42,2017,204.9904378,222.5630762,182.9405607,Colias eurytheme,-88,41,-87,42,-87.5,41.5,159.9390401,173.0773094,122.9211436,,,,,,
42,2018,193.4503986,212.5059921,173.3809741,Colias eurytheme,-88,41,-87,42,-87.5,41.5,148.6619582,160.1441085,117.1971041,,,,,,
46,2018,159.5452258,197.6421196,132.4932388,Colias eurytheme,-87,39,-86,40,-86.5,39.5,141.3923964,152.5541121,101.1880195,,,,,,
58,2016,174.1533613,213.2039462,126.0145054,Colias eurytheme,-85,39,-84,40,-84.5,39.5,132.3014461,155.78583,35.19536595,,,,,,
58,2018,159.7109596,176.6267908,136.6233817,Colias eurytheme,-85,39,-84,40,-84.5,39.5,94.28038454,112.9840923,27.45624312,,,,,,
72,2012,135.6196378,165.4171776,110.116137,Colias eurytheme,-83,41,-82,42,-82.5,41.5,127.2555279,130.9608021,109.6126836,,,,,,
